Construct,GFP+ P0_rep 1,GFP+ P1_rep 1,GFP+ P2_rep 1,GFP+ P0_rep 2,GFP+ P1_rep 2,GFP+ P2_rep 2,GFP+ P0_average,GFP+ P1_average,GFP+ P2_average
A18_A23_A24,32.6,31.4,27.6,35.2,34.7,30.8,33.9,33.05,29.2
A18_A25_A22,37.9,39.3,38.7,38.7,41,38,38.3,40.15,38.35
A18_A18_A03,37.8,39.5,39,38.9,37.8,39.5,38.35,38.65,39.25
A25_A18_A12,41.6,43.2,42.3,50.6,54.5,52.9,46.1,48.85,47.6
A04_A18_A18,35.2,37.8,36.6,32.6,35,34.2,33.9,36.4,35.4
A25_A18_A22,44.8,47,45.9,45.6,47.9,47,45.2,47.45,46.45
A18_A08_A12,39.7,43.5,42.5,37.8,38.7,38,38.75,41.1,40.25
A08_A08_A18,43.7,45.9,48,46.4,49.7,49.4,45.05,47.8,48.7
A10_A10_A25,44,49.4,50.5,40.7,48.6,47.7,42.35,49,49.1
A08_A25_A08,47.6,52.6,52.4,51.3,58.6,57.2,49.45,55.6,54.8
A23_A12_A18,44.2,49.3,48.8,47.9,55.5,55.1,46.05,52.4,51.95
A08_A18_A20,51.4,58.4,60.3,48.5,54.5,55.7,49.95,56.45,58
A25_A18_A16,51.6,57.6,60.3,45.6,51.5,52.7,48.6,54.55,56.5
A10_A18_A17,52.3,59.3,60.7,49.7,55.8,56.9,51,57.55,58.8
A10_A14_A14,58.2,68.2,68.5,50.3,57.7,59.8,54.25,62.95,64.15
A10_A18_A04,56.5,66.7,70.6,50.5,59.2,62.8,53.5,62.95,66.7
A23_A10_A14,49.3,59.8,61.1,49.8,58.8,61.5,49.55,59.3,61.3
A25_A16_A10,55.1,68,71.5,51.4,59.1,65.6,53.25,63.55,68.55
A16_A20_A12,74.4,83.8,84,71.4,81.2,81.4,72.9,82.5,82.7
A16_A14_A12,64.3,78.1,81.6,55.7,70.2,73.8,60,74.15,77.7
A10_A10_A07,61.3,77.1,81.9,61,77.2,83.2,61.15,77.15,82.55
A14_A14_A02,75.9,87.9,89.6,78.4,88.6,89.7,77.15,88.25,89.65
A22_A16_A12,75.2,88.2,90.7,71.1,87,89,73.15,87.6,89.85
A06_A06_A16,68,86.1,90,69.2,87.5,89.7,68.6,86.8,89.85
A23_A23_A01,82.9,92.5,93.2,78,90.9,91.5,80.45,91.7,92.35
A22_A20_A12,65.2,87.4,89.7,70.6,90.2,91.8,67.9,88.8,90.75
A13_A01_A01,78.2,91.5,92.6,76.4,91,92.1,77.3,91.25,92.35
MCP-mutant,44.3,43.4,43.8,38.9,38.6,37.4,41.6,41,40.6
GFP only,96.8,95.2,94.9,97,95.6,95.8,96.9,95.4,95.35
